disorbert base,0.00141,0.0046,0.013,0.0619,0.05524,0.03719,0.00354,0.02563,0.17205,0.06461,0.05595,0.12801
depressmbert base,0.00022,0.00095,0.00564,0.01429,0.0281,0.02676,0.00076,0.01281,0.12234,0.0123,0.02559,0.08687
sr disorbert,0.00163,0.00494,0.01424,0.06667,0.05857,0.0389,0.00398,0.0275,0.18103,0.06836,0.05927,0.13536
sr disorbert 3,0.00079,0.00584,0.02021,0.0381,0.07333,0.04638,0.00241,0.03502,0.22001,0.03441,0.06855,0.16134
ce disorbert,0.00158,0.00547,0.01375,0.06667,0.0581,0.03624,0.00381,0.02622,0.16738,0.06912,0.06041,0.12716
bi disorbert,0.00143,0.00494,0.01536,0.07143,0.06286,0.03986,0.00429,0.02976,0.18603,0.06358,0.06174,0.13938
