all + ce disorbert,100,loss of interest in sex,0.01985,0.15825,0.34405,0.5,0.48,0.14075,0.03169,0.30432,0.89234,0.53337,0.49251,0.74355
all + ce disorbert,100,irritability,0.01699,0.11882,0.20481,0.375,0.455,0.1015,0.0242,0.2939,0.65588,0.39055,0.42834,0.54728
all + ce disorbert,100,punishment feelings,0.00516,0.0859,0.1521,0.125,0.2325,0.04625,0.025,0.465,0.925,0.09554,0.32419,0.54809
all + ce disorbert,100,worthlessness,0.0181,0.16229,0.28674,0.475,0.49,0.11525,0.03299,0.34028,0.80035,0.42156,0.46859,0.65421
all + ce disorbert,100,loss of pleasure,0.00656,0.12527,0.27012,0.3,0.5175,0.142,0.01471,0.25389,0.69688,0.28083,0.4814,0.59879
all + ce disorbert,100,tiredness or fatigue,0.00582,0.14196,0.28176,0.35,0.5825,0.1535,0.01584,0.26357,0.69457,0.28894,0.53909,0.60617
multi + ce disorbert,25,concentration difficulty,0.05095,0.33964,0.52182,0.825,0.6375,0.125,0.05851,0.45213,0.88652,0.81711,0.66914,0.81289
multi + ce disorbert,25,guilty feelings,0.02347,0.22103,0.36604,0.625,0.53,0.1185,0.04378,0.37133,0.83014,0.52034,0.52878,0.70766
multi + ce disorbert,25,pessimism,0.01471,0.08998,0.23927,0.575,0.44,0.18975,0.01769,0.13538,0.58385,0.57946,0.46625,0.53909
multi + ce disorbert,25,sadness,0.01506,0.09318,0.25399,0.65,0.4875,0.1995,0.02045,0.15342,0.6279,0.63255,0.51384,0.57994
multi + ce disorbert,25,suicidal thoughts or wishes,0.02001,0.17685,0.54874,0.825,0.7675,0.2945,0.02366,0.22008,0.84443,0.81706,0.77612,0.80684
multi + ce disorbert,25,changes in appetite,0.02682,0.16094,0.40277,0.78571,0.55429,0.19014,0.0351,0.2476,0.84943,0.71369,0.57373,0.75303
multi + ce disorbert,25,loss of interest,0.02702,0.12379,0.22683,0.65,0.395,0.1115,0.03876,0.23549,0.66478,0.59635,0.41874,0.57323
multi + ce disorbert,25,indecisiveness,0.01119,0.07042,0.1171,0.325,0.2625,0.0685,0.02307,0.18661,0.48701,0.31282,0.2785,0.40584
multi + ce disorbert,25,loss of energy,0.03586,0.20153,0.36483,0.825,0.5475,0.15225,0.04048,0.26863,0.74722,0.83822,0.60449,0.69619
multi + ce disorbert,25,self-criticalness,0.02711,0.10893,0.24091,0.6,0.35,0.13125,0.03448,0.20115,0.75431,0.58292,0.38933,0.62718
multi + ce disorbert,25,agitation,0.02134,0.09647,0.14621,0.475,0.29,0.076,0.03088,0.1885,0.49414,0.48251,0.33148,0.43941
multi + ce disorbert,25,past failure,0.0045,0.08109,0.2115,0.3,0.48,0.16975,0.01,0.16,0.56583,0.26871,0.45641,0.51138
multi + ce disorbert,25,crying,0.0279,0.21647,0.50254,0.925,0.795,0.24375,0.02891,0.24844,0.76172,0.9414,0.82233,0.7521
multi + ce disorbert,25,changes in sleeping pattern,0.0175,0.11142,0.42376,0.71429,0.58143,0.293,0.02041,0.16612,0.83714,0.75462,0.6132,0.7661
multi + ce disorbert,25,self-dislike,0.01272,0.08561,0.20775,0.5,0.415,0.17075,0.01737,0.14417,0.59338,0.48028,0.43081,0.529
multi + ce disorbert,25,loss of interest in sex,0.04633,0.16824,0.29417,0.825,0.4225,0.12,0.05231,0.26791,0.76092,0.84793,0.48919,0.67324
multi + ce disorbert,25,irritability,0.04096,0.28896,0.41033,0.75,0.58,0.11675,0.04846,0.37478,0.75446,0.77763,0.63376,0.71249
multi + ce disorbert,25,punishment feelings,0.06004,0.20685,0.25715,0.5,0.23,0.04275,0.1,0.46,0.855,0.45959,0.43766,0.62795
multi + ce disorbert,25,worthlessness,0.01708,0.16193,0.27702,0.525,0.41,0.10775,0.03646,0.28472,0.74826,0.42029,0.4193,0.62084
