bi disorbert,concentration difficulty,0.01151,0.03739,0.06671,0.25,0.1475,0.057,0.01773,0.10461,0.40426,0.28055,0.17512,0.32114
bi disorbert,guilty feelings,0.00035,0.0045,0.01783,0.025,0.065,0.04275,0.00175,0.04554,0.29948,0.02129,0.05929,0.19906
bi disorbert,pessimism,0.00609,0.01781,0.05419,0.25,0.1825,0.10075,0.00769,0.05615,0.31,0.33109,0.21041,0.27664
bi disorbert,sadness,0.00078,0.00427,0.03469,0.125,0.1075,0.09375,0.00394,0.03383,0.29504,0.09928,0.10184,0.23907
bi disorbert,suicidal thoughts or wishes,0.01165,0.06476,0.13287,0.575,0.385,0.143,0.01648,0.11035,0.40997,0.56388,0.4197,0.39487
bi disorbert,changes in appetite,0.00113,0.00487,0.01936,0.05714,0.08429,0.05629,0.00255,0.03765,0.2514,0.07235,0.08574,0.19127
bi disorbert,loss of interest,0.00169,0.01032,0.03463,0.1,0.1025,0.05775,0.00595,0.06115,0.34439,0.0829,0.09779,0.24823
bi disorbert,indecisiveness,0.00886,0.01827,0.03774,0.2,0.11,0.04875,0.01421,0.07815,0.3464,0.24495,0.13248,0.26787
bi disorbert,loss of energy,0.01798,0.0539,0.11864,0.5,0.25,0.099,0.02452,0.12263,0.48575,0.54116,0.29676,0.42654
bi disorbert,self-criticalness,0.00202,0.01832,0.06611,0.125,0.1625,0.0825,0.00718,0.09339,0.47414,0.11575,0.15495,0.35052
bi disorbert,agitation,0.00817,0.02146,0.03676,0.225,0.1375,0.0475,0.01462,0.08944,0.30898,0.27012,0.1599,0.252
bi disorbert,past failure,0.0144,0.03956,0.09195,0.525,0.2575,0.11425,0.0175,0.08583,0.38083,0.61444,0.31853,0.35952
bi disorbert,crying,0.00911,0.03381,0.09384,0.425,0.2575,0.12975,0.01328,0.08047,0.40547,0.46494,0.29535,0.36805
bi disorbert,changes in sleeping pattern,0.00203,0.01605,0.07416,0.2,0.20143,0.13143,0.00571,0.05755,0.37551,0.17232,0.19837,0.32027
bi disorbert,self-dislike,0.0095,0.04058,0.09142,0.375,0.2725,0.11175,0.01302,0.09466,0.38827,0.38713,0.29514,0.35017
bi disorbert,loss of interest in sex,0.0,0.00138,0.01002,0.0,0.045,0.03675,0.0,0.02853,0.23295,0.0,0.03636,0.15177
bi disorbert,irritability,0.02081,0.06246,0.11124,0.475,0.23,0.077,0.03071,0.14861,0.49752,0.48568,0.27287,0.42235
bi disorbert,punishment feelings,0.01476,0.02463,0.04085,0.15,0.055,0.02375,0.03,0.11,0.475,0.18609,0.12659,0.29657
bi disorbert,worthlessness,0.00925,0.03929,0.08328,0.275,0.18,0.07325,0.0191,0.125,0.50868,0.26954,0.19486,0.38672
bi disorbert,loss of pleasure,0.00581,0.04209,0.10012,0.275,0.2525,0.09775,0.01349,0.12392,0.47965,0.25108,0.26065,0.39653
bi disorbert,tiredness or fatigue,0.00051,0.00762,0.03322,0.05,0.1175,0.07025,0.00226,0.05317,0.31787,0.03794,0.10991,0.24303
bi disorbert,agitation,0.00817,0.02146,0.03676,0.225,0.1375,0.0475,0.01462,0.08944,0.30898,0.27012,0.1599,0.252
roberta simcse sup,concentration difficulty,0.03667,0.10186,0.16617,0.575,0.2625,0.085,0.04078,0.18617,0.60284,0.65072,0.33029,0.51737
roberta simcse sup,guilty feelings,0.01478,0.03422,0.05986,0.3,0.155,0.05775,0.02102,0.10854,0.40442,0.38768,0.19497,0.3309
roberta simcse sup,pessimism,0.00142,0.0104,0.04935,0.125,0.155,0.10675,0.00385,0.04769,0.32846,0.13376,0.15248,0.27329
roberta simcse sup,sadness,0.00899,0.03956,0.15406,0.425,0.305,0.17625,0.01338,0.09598,0.55463,0.49226,0.33938,0.48979
roberta simcse sup,suicidal thoughts or wishes,0.00494,0.01872,0.06363,0.275,0.205,0.11975,0.00789,0.05879,0.34334,0.33627,0.23393,0.30894
roberta simcse sup,changes in appetite,0.02337,0.13741,0.25123,0.71429,0.46429,0.14186,0.03191,0.20745,0.63377,0.67696,0.50095,0.57531
roberta simcse sup,loss of interest,0.00946,0.02006,0.03502,0.325,0.1125,0.04675,0.01937,0.06706,0.27867,0.33478,0.14716,0.23639
